,City,Country,Lat,Lng,Cloudiness,Humidity,High Temp,Wind Speed
0,George Town,MY,5.41,100.34,20,94,78.8,5.82
1,Whitehorse,CA,60.72,-135.05,90,92,26.6,8.05
2,Ossora,RU,59.24,163.07,100,66,2.26,20.36
3,Hong Kong,HK,22.29,114.16,40,68,64.99,8.05
4,Pangai,TO,-19.8,-174.35,100,82,80.91,18.21
5,Ushuaia,AR,-54.8,-68.3,40,62,55.4,21.92
6,Saint-Philippe,RE,-21.36,55.77,75,83,80.6,12.75
7,Beringovskiy,RU,63.05,179.32,0,91,-15.2,2.28
8,Talnakh,RU,69.49,88.4,40,75,-18.4,2.24
9,Port Elizabeth,ZA,-33.92,25.57,0,64,75.2,16.11
10,Rikitea,PF,-23.12,-134.97,0,78,78.76,12.24
11,Alghero,IT,40.56,8.32,75,82,60.8,11.41
12,Khatanga,RU,71.97,102.5,81,98,-22.05,7.23
13,Mataura,NZ,-46.19,168.86,0,86,54.0,17.0
14,Bengkulu,ID,-3.8,102.27,74,88,74.75,3.04
15,Chupa,RU,66.27,33.05,100,97,34.66,14.85
16,Cigand,HU,48.26,21.89,90,93,39.99,11.18
17,Kaitangata,NZ,-46.28,169.85,0,70,53.01,1.01
18,Busselton,AU,-33.65,115.33,1,25,66.99,19.06
19,Namatanai,PG,-3.67,152.43,100,71,83.93,8.72
20,Punta Arenas,CL,-53.15,-70.92,75,44,59.0,14.99
21,Avarua,CK,-21.21,-159.78,100,88,80.6,12.75
22,Hermanus,ZA,-34.42,19.23,0,68,86.0,13.0
23,Hilo,US,19.73,-155.09,75,68,66.2,4.7
24,Mount Isa,AU,-20.73,139.5,49,27,86.0,5.82
25,Cape Town,ZA,-33.93,18.42,20,69,86.0,23.04
26,Barrow,US,71.29,-156.79,1,92,-32.8,11.41
27,Upernavik,GL,72.79,-56.15,100,95,-1.66,3.4
28,Arraial do Cabo,BR,-22.97,-42.03,40,74,84.2,6.93
29,Bredasdorp,ZA,-34.53,20.04,61,65,79.0,14.99
30,Hithadhoo,MV,-0.6,73.08,56,81,82.49,14.74
31,Bluff,NZ,-46.6,168.33,0,86,54.0,17.0
32,Saskylakh,RU,71.92,114.08,100,97,-23.3,4.88
33,Atuona,PF,-9.8,-139.03,20,77,80.51,17.76
34,Albany,US,42.6,-73.97,100,96,37.99,7.16
35,Kahului,US,20.89,-156.47,20,68,66.2,10.29
36,Puerto Ayora,EC,-0.74,-90.35,75,78,82.4,12.75
37,Fortuna,US,40.6,-124.16,1,54,36.0,6.93
38,Capreol,CA,46.71,-80.92,20,85,28.0,5.82
39,Severo-Kuril'sk,RU,50.68,156.12,98,88,19.29,14.81
40,Jamestown,US,42.1,-79.24,90,93,37.4,5.82
41,Ekibastuz,KZ,51.67,75.37,100,98,-2.38,7.72
42,Heihe,CN,50.24,127.49,100,66,14.0,8.95
43,Caarapo,BR,-22.63,-54.82,94,64,87.84,2.21
44,Sabang,ID,5.89,95.32,69,75,83.41,20.27
45,Fergus Falls,US,46.28,-96.08,40,78,23.0,12.75
46,Tuatapere,NZ,-46.13,167.68,0,86,54.0,17.0
47,Raigarh,IN,21.9,83.4,0,59,62.6,1.39
48,Saint-Augustin,CA,51.23,-58.65,100,82,19.13,21.63
49,Yar-Sale,RU,66.83,70.83,90,96,2.25,10.09
50,Hobart,AU,-42.88,147.33,90,82,64.99,5.82
51,Yacuiba,BO,-22.04,-63.68,90,100,73.4,6.93
52,Tuktoyaktuk,CA,69.45,-133.04,90,75,-20.2,5.82
53,Vao,NC,-22.67,167.48,100,84,80.15,24.81
54,Ponta do Sol,PT,32.67,-17.1,40,63,66.2,9.17
55,Walvis Bay,NA,-22.96,14.51,90,77,66.2,10.29
